,image_id,orig_ia_pre_score,orig_ia_pre_styles_change,dist_ia_pre_score,dist_ia_pre_styles_change,dist_filters
0,6814,0.999778926372528,"[-0.9654945135116577, 0.22679230570793152, 0.9869354367256165, 0.19545415043830872, 0.4352826476097107, -0.4717840552330017, 0.28783607482910156, -0.8028579354286194, 1.0730304718017578]",0.9999088048934937,"[-1.1834551095962524, 0.42367902398109436, 0.6375507116317749, 0.06515181064605713, 0.6954754590988159, -0.3873235285282135, 0.21552670001983643, -0.7505828738212585, 1.072944164276123]","[-0.2134456752511188, -0.1326152928973246, -0.2788621758868737, 0.21059543149130905, -0.026842867351013877, 0.2916371930937725, -0.2596443216200821, -0.07061066490984885]"
1,4784,0.9996621608734132,"[-0.2860947549343109, -0.23781152069568634, 0.6954005360603333, 0.3813879191875458, 0.1339407116174698, -0.39486581087112427, 0.14346520602703094, 0.2640927731990814, -0.17948079109191895]",0.9999181032180786,"[-0.8473320007324219, -0.010819295421242714, 0.3971824645996094, 0.09141707420349121, 0.2236160784959793, -0.6236982345581055, 0.2020653337240219, -0.7019149661064148, 0.4939028024673462]","[-0.27862154364255604, -0.10418538521630907, 0.006444068525303603, -0.019916277286598727, 0.27730252639767866, -0.14880770505854185, -0.2602865209860327, 0.2390797462789313]"
2,6338,0.998955488204956,"[-1.000562071800232, 0.6174666285514832, 0.023590944707393646, -0.002673819661140442, 0.11762750148773193, -0.3786394000053406, 0.07453574240207672, 0.06917371600866318, 0.4623878002166748]",0.998417854309082,"[-0.7198819518089294, 0.518527090549469, 0.1257544457912445, -0.04933008551597595, 0.04375922679901123, -0.1761876940727234, 0.08150187879800797, 0.1444827914237976, 0.41154754161834717]","[-0.012940364124793768, 0.10464234622855623, -0.18628709701185125, 0.1742621948117673, 0.04399964337588669, 0.1958180905350645, 0.21599340999259703, -0.2685052429733998]"
3,8318,0.9988334774971008,"[-0.3462471663951874, 0.28618624806404114, 0.7019643187522888, 0.8305206298828125, -0.13539868593215942, 0.036558739840984344, 0.3139644265174866, 0.4169664978981018, 0.3152397572994232]",0.9731389880180359,"[0.08301988989114761, -0.04519185423851013, 0.6226229071617126, 0.44105324149131775, -0.13291436433792114, 0.20894569158554077, 0.3075561821460724, -0.017425693571567535, 0.1423896849155426]","[0.2388974097615078, 0.2667307252724042, -0.17735118638767755, 0.1813223255361729, 0.08600187284502153, 0.17002697419529117, -0.11079313671607818, 0.23697302540948456]"
4,7133,0.9970486760139464,"[-0.6588413119316101, 0.3590781092643738, 1.1860077381134033, -0.29990196228027344, 0.8973227739334106, 0.02670108713209629, 0.25302988290786743, -0.8795897364616394, 1.1853866577148438]",0.8285088539123535,"[-0.5808913111686707, 0.13135147094726562, 0.33264321088790894, -0.13019751012325287, 0.557299017906189, -0.43229544162750244, 0.21366405487060547, -0.4765591025352478, 0.406450092792511]","[-0.1748497790392102, 0.2913607501078495, 0.04004755432362744, -0.031761652793317774, -0.10726149008470207, 0.184296729368554, -0.07793483211981136, -0.1865346133926554]"
5,6633,0.9966613054275512,"[-0.8778210282325745, 0.27898210287094116, 0.03700386732816696, 0.1391846239566803, 0.08804535865783691, -0.5690810084342957, 0.16636109352111816, -0.7418420910835266, 0.47525233030319214]",0.9598991870880127,"[-0.6915796399116516, 0.19391566514968872, -0.14191851019859314, -0.014052540063858032, 0.18745669722557068, -0.4186699688434601, 0.13846348226070404, -0.477062463760376, 0.18514524400234222]","[-0.17279192974431004, 0.10224299980877238, -0.2499574520162932, 0.0867510494378898, 0.19888144197927238, -0.21274123916494425, -0.2367467546899495, -0.0923024803940635]"
6,6544,0.9966440200805664,"[-0.7604919672012329, 0.858525276184082, -0.3384113311767578, 1.418642282485962, -0.21938654780387878, 0.5237392783164978, 0.0018074065446853638, 0.2118435800075531, -0.5123868584632874]",0.9972296357154846,"[-0.7507338523864746, 0.847391664981842, -0.23601102828979492, 1.1574270725250244, -0.10774698853492737, 0.5133273601531982, -0.00041462481021881104, 0.21766236424446106, -0.4085462689399719]","[-0.10264575518235802, 0.004400430322767712, -0.23765802607374942, -0.1382352431054834, 0.23649333526424493, 0.078571122686304, 0.234596151414931, -0.1337889046267141]"
7,7352,0.9964308738708496,"[-0.9311612844467163, 0.45417723059654236, 0.48497360944747925, 0.30926617980003357, 0.2925608456134796, -0.2807723581790924, 0.20223712921142578, -0.5260739922523499, 0.8023804426193237]",0.9965093731880188,"[-0.8804019689559937, 0.5091338753700256, 0.32120904326438904, 0.3012793958187103, 0.3647856116294861, -0.25728797912597656, 0.16765494644641876, -0.9250733852386475, 0.7494377493858337]","[0.14009928899527613, -0.2782295707867735, 0.18480299858971555, -0.28989352033020077, 0.1964356022178122, -0.2606712088767762, 0.2986750396498921, -0.015997993403374933]"
8,7931,0.9961535334587096,"[-1.0099668502807617, 0.845603883266449, -0.41846829652786255, 0.06889346241950989, 0.5690965056419373, -0.1934109926223755, -0.021204248070716858, -0.09182342141866684, 0.08230026811361313]",0.9787920713424683,"[-0.8768221139907837, 0.6974586844444275, -0.7454622983932495, -0.07744808495044708, 0.6159261465072632, -0.24683675169944763, -0.04186558723449707, -0.31936803460121155, 0.14276555180549622]","[-0.2190097726977132, 0.05780698062753242, 0.04950481670336143, 0.19990404241660475, 0.2210311492242924, -0.05589412972372371, 0.11213439237834333, -0.08155395127467951]"
9,6921,0.9958783388137816,"[-0.7944003343582153, -0.35822877287864685, 0.7408679723739624, -0.4109151065349579, 0.014313071966171265, -0.8882105946540833, 0.23026706278324127, 0.1358165144920349, 0.6417788863182068]",0.8432037830352783,"[-0.7359163165092468, -0.6242350935935974, 0.656051516532898, -0.35900014638900757, -0.03960433602333069, -1.047411561012268, 0.27599650621414185, 0.46511566638946533, 0.3862982392311096]","[0.19100403746641964, 0.21079337568241646, -0.2033024202173733, -0.17882306873244996, -0.2244912393877767, -0.19671173272839934, -0.09331556737610783, 0.15462022605812925]"
10,6902,0.995715081691742,"[-1.0454288721084595, 0.5737019181251526, 0.5488954186439514, 0.026695340871810913, 0.6283522844314575, -0.39311525225639343, 0.23399655520915985, 0.6463159322738647, 0.28752946853637695]",0.986469030380249,"[-0.7991447448730469, 0.3316785395145416, 0.5118317604064941, -0.08568349480628967, 0.4894065260887146, -0.5230337977409363, 0.20964491367340088, 0.6271841526031494, 0.17209510505199432]","[0.013796090844973685, -0.07084624509801984, 0.18177055855282281, 0.254846431565316, 0.10240721304290179, 0.14310564303552864, 0.0780417984498698, -0.199416275474929]"
11,8579,0.9955537915229796,"[-1.0121773481369019, 0.7800722718238831, -0.5104930400848389, 0.8382463455200195, -0.2948707044124603, 0.3876676559448242, -0.007299631834030151, 0.18381156027317047, -0.3551156222820282]",0.38441821932792664,"[-0.7802783846855164, 0.6654968857765198, -0.7927119731903076, 0.20967760682106018, 0.06968873739242554, 0.2664363384246826, -0.0378938764333725, -0.42897307872772217, -0.42727136611938477]","[-0.29684816262606545, 0.29831802094405196, -0.2773649897833335, -0.123254867714536, -0.08263288627335727, 0.06363681027677037, 0.09472926597720766, 0.287745719226521]"
12,6917,0.995430588722229,"[-0.8006240725517273, 1.0024420022964478, 0.0990966260433197, 0.5899598598480225, 0.3548470735549927, 0.11637803167104721, 0.12439697235822678, 0.11122102290391922, 0.3720208406448364]",0.8722211718559265,"[-0.5516326427459717, 0.6922576427459717, -0.07830528169870377, 0.4161461293697357, 0.39488860964775085, 0.06323205679655075, 0.17020052671432495, -0.6271879076957703, 0.5285568237304688]","[-0.2145574021403672, -0.12076843447963229, -0.09251743600444193, -0.23957563630218742, 0.29979359022446767, -0.2774251485813752, 0.2767013688878512, 0.036038433163725625]"
