,image_id,orig_ia_pre_score,dist_ia_pre_score,rest_ia_pre_score,orig_ia_pre_styles_change,dist_ia_pre_styles_change,rest_ia_pre_styles_change,orig_ia_pre_styles_change_strength,dist_ia_pre_styles_change_strength,rest_ia_pre_styles_change_strength,distance_to_orig
0,pexels-photo-1692822_-1_0_2_0_0.jpeg,0.7194523215293884,0.3345639705657959,0.4718007445335388,"[-0.16007211804389954, -0.14798429608345032, 0.20395904779434204, -0.04822760820388794, 0.14371438324451447, -0.39351505041122437, 0.1625080704689026, -0.11088184267282486, 0.07423065602779388]","[-0.021041445434093475, -0.32655563950538635, -0.08319539576768875, -0.2604239583015442, 0.13753822445869446, -0.5955199599266052, 0.1319105327129364, -0.5026746392250061, 0.5088870525360107]","[-0.014110192656517029, 0.112828329205513, 0.18329280614852905, 0.2419930100440979, 0.25859150290489197, 0.011372344568371773, 0.1091189906001091, 0.07298992574214935, 0.05266956984996796]",0.1605658969945377,0.2853052053186629,0.1174407413022385,0.070977249914612
1,pexels-photo-209079_-1_0_3_-4_-1.jpeg,0.1958839446306228,0.1849334388971328,0.2669627070426941,"[-0.2690558433532715, 0.4382457435131073, 0.0061718374490737915, 0.26322969794273376, 0.3836438059806824, 0.22988176345825195, 0.1671190708875656, 0.006680227816104889, 0.11969852447509766]","[-0.24004167318344116, 0.38981759548187256, -0.014737166464328766, 0.24538737535476685, 0.37555187940597534, 0.19105875492095947, 0.16736570000648499, -0.08778030425310135, 0.10122516751289368]","[-0.23962461948394775, 0.3633059561252594, 0.07146821916103363, 0.2746869623661041, 0.2837063670158386, 0.21210616827011108, 0.17809942364692688, 0.019416779279708862, 0.0886709988117218]",0.2093029460973209,0.2014406240648693,0.1923428326845169,0.0572281959638908
2,pexels-photo-266977_-1_-1_3_-4_0.jpeg,0.1324562132358551,0.1153812482953071,0.3027802109718323,"[0.2670505940914154, -0.15323740243911743, 0.44804927706718445, -0.05461736023426056, -0.07604601979255676, 0.16167643666267395, 0.21646103262901306, 0.6262327432632446, 0.19441534578800201]","[-0.21823567152023315, 0.49900272488594055, -0.1692899763584137, 0.18352898955345154, 0.16138856112957, 0.4450875222682953, 0.11619950830936432, 0.7317314147949219, -0.02469193935394287]","[-0.3711998760700226, 0.6522296071052551, -0.2773854434490204, 0.1888974905014038, 0.12709376215934753, 0.3773934841156006, 0.07294074445962906, 0.5095679759979248, -0.23586727678775787]",0.2441984679963853,0.2832395897971259,0.3125084067384402,0.412445296613078
3,pexels-photo-1657936_0_0_2_-3_-2.jpeg,0.7104255557060242,0.5765833854675293,0.6811732649803162,"[-0.07059004157781601, 0.25001028180122375, 0.0945313349366188, -0.09290727972984314, 0.4808804392814636, 0.25301700830459595, 0.1504315882921219, -0.4862029552459717, 0.035780876874923706]","[-0.0759778842329979, 0.1897396296262741, 0.15940803289413452, -0.061516016721725464, 0.3612995147705078, 0.20701096951961517, 0.1767960786819458, -0.2790148854255676, 0.010216444730758667]","[-0.09971734136343002, 0.10444004833698273, 0.3606421649456024, -0.12267202883958817, 0.42509862780570984, 0.1719135344028473, 0.19608356058597565, -0.025158405303955078, -0.02933020330965519]",0.2127057562271753,0.1689977174003919,0.1705617683215273,0.1167340326955592
4,pexels-photo-2123375_-1_0_3_-3_0.jpeg,0.4200917482376098,0.2060389667749405,0.2517126202583313,"[-0.32672709226608276, 0.3978721499443054, 0.39111244678497314, 0.44844529032707214, 0.24097466468811035, -0.14285889267921448, 0.2044983059167862, -0.005950301885604858, 0.19648590683937073]","[-0.13317561149597168, 0.24218380451202393, 0.1417846381664276, 0.3609441816806793, 0.2848181426525116, -0.16978994011878967, 0.1498020440340042, -0.05525622516870499, 0.0017053112387657166]","[-0.04241620749235153, 0.21062038838863373, 0.1639813780784607, 0.40788593888282776, 0.29269281029701233, -0.12937532365322113, 0.15228687226772308, 0.08001362532377243, -0.08096488565206528]",0.2616583390368355,0.1710510998964309,0.173359714448452,0.0990348922713136
5,pexels-photo-3172830_0_0_-1_-4_-1.jpeg,0.8365896940231323,0.6591079831123352,0.7641417980194092,"[-0.8757861256599426, 0.6111651062965393, 1.2284554243087769, 0.43987181782722473, 0.45435503125190735, -0.012397831305861473, 0.1811944544315338, 0.28368428349494934, 0.9600849747657776]","[-0.9709392786026001, 0.6899039149284363, 1.153391718864441, 0.41564276814460754, 0.4783930480480194, -0.020321479067206383, 0.20451335608959198, 0.49532753229141235, 0.8157353401184082]","[-0.9997447729110718, 0.6222425103187561, 1.1000474691390991, 0.3945288360118866, 0.5103303790092468, -0.27899691462516785, 0.21450689435005188, 0.4807809889316559, 1.1047987937927246]",0.5607772277047237,0.5826853817949692,0.6339975065655179,0.0636089986629561
6,pexels-photo-2874421_0_-1_0_-3_0.jpeg,0.8887853026390076,0.7319139838218689,0.8360153436660767,"[-0.03423380106687546, 0.13041137158870697, 1.2313863039016724, 0.08262154459953308, 0.1343361735343933, 0.3836000859737396, 0.3599236309528351, 0.16458570957183838, 0.00819195806980133]","[0.013170205056667328, 0.09105294197797775, 0.6664384007453918, 0.0643862783908844, 0.10124106705188751, 0.12026629596948624, 0.25123482942581177, -0.0644577369093895, 0.09198088943958282]","[0.029852725565433502, 0.05837384611368179, 1.2637379169464111, 0.05320632457733154, 0.08778886497020721, 0.32797861099243164, 0.3586607575416565, 0.08062905818223953, 0.003837771713733673]",0.2810322865843773,0.1626920716630088,0.2515628751781251,0.169663175453605
7,pexels-photo-37987_0_-1_1_-3_0.jpeg,0.3338282704353332,0.1261263787746429,0.2500750720500946,"[-0.16421324014663696, 0.1766357123851776, 0.48404914140701294, -0.03866703808307648, 0.31580284237861633, 0.1550207883119583, 0.2055319994688034, 0.600463330745697, 0.014605365693569183]","[-0.10930643230676651, 0.7413239479064941, -0.09991972893476486, 0.49806079268455505, 0.39249610900878906, 0.4030562937259674, 0.07651093602180481, 0.11685628443956375, -0.004134044051170349]","[-0.07137715071439743, 0.4214549958705902, 0.09294728934764862, 0.32813504338264465, 0.1302572786808014, 0.19033391773700714, 0.0987715870141983, 0.1562056541442871, 0.07417777180671692]",0.2394432731800609,0.2712960632310973,0.1737400765220324,0.3620590726215045
8,pexels-photo-2888344_-1_-1_0_-2_-2.jpeg,0.4468690454959869,0.4282004237174988,0.5525541305541992,"[0.11229617893695831, 0.1442926526069641, -0.0899929329752922, 0.18763723969459534, 0.12417563796043396, 0.34073442220687866, 0.1227281391620636, 0.2339777946472168, -0.14529633522033691]","[-0.18165108561515808, 0.366218626499176, -0.028570033609867096, 0.2127642035484314, 0.011991024017333984, 0.2509775161743164, 0.14365634322166443, 0.18696123361587524, 0.13219201564788818]","[-0.18296805024147034, 0.4464554190635681, -0.0729149654507637, 0.3529050052165985, 0.058682411909103394, 0.2813943028450012, 0.14619910717010498, 0.13494232296943665, 0.07232499122619629]",0.1667923703789711,0.1683313424388567,0.1943096195658048,0.1663110829619345
9,pexels-photo-2049486_-1_-1_-1_-4_-2.jpeg,0.6559133529663086,0.8214134573936462,0.9040884375572203,"[-0.18340668082237244, 0.3464217483997345, -0.03587961941957474, -0.04171082377433777, 0.2910492718219757, 0.03672347962856293, 0.09259437024593353, 0.21281081438064575, -0.1975550502538681]","[-0.06493297219276428, 0.21653036773204803, 0.15020515024662018, -0.1482979953289032, 0.1774316132068634, -0.006255283951759338, 0.12342202663421631, 0.15105050802230835, 0.046861663460731506]","[-0.139847069978714, 0.2532031238079071, 0.19142445921897888, -0.21511298418045044, 0.3048207461833954, -0.03378639370203018, 0.1572740375995636, -0.1694486141204834, 0.2749497592449188]",0.1597946509718895,0.1205541756418016,0.1933185764484935,0.12172539417451
