,yaml_name,mean_distance_to_orig,optim_lr,gamma,margin,alpha,adaptive_score_offset
0,hypersearch-3-31,0.29041533539257314,0.17571767935033855,0.3,0.15,0.3,0.35549427787959087
1,hypersearch-20-0,0.3571101955919514,0.18774725291672706,0.1,0.15,0.3,0.8397665079626518
2,hypersearch-11-34,0.3941143854657564,0.18723748213627506,0.2,0.0,0.8,0.6273488409761789
3,hypersearch-10-33,0.2894745789319255,0.11138125978950075,0.0,0.05,0.1,0.8463296981690529
4,hypersearch-10-23,0.2353852722684755,0.04065045920145502,0.1,0.2,0.0,0.7343065259751724
5,hypersearch-11-44,0.19348440725568591,0.012418876373295418,0.3,0.0,0.8,0.6742889423164835
6,hypersearch-20-41,0.2318145643599838,0.04451965028337715,0.0,0.15,0.2,0.8486722535135968
7,hypersearch-4-0,0.20569913235035864,0.15017646745365634,0.2,0.2,0.6,0.13030573349748245
8,hypersearch-20-13,0.3677388320031043,0.19951841239923698,0.2,0.0,0.7,0.5438431213119137
9,hypersearch-0-25,0.32662117886810654,0.1806142627439907,0.2,0.1,0.3,0.5477493611820651
10,hypersearch-4-13,0.28146687477628535,0.10602415251599212,0.0,0.05,0.5,0.527028138639918
11,hypersearch-20-45,0.20332252863283806,0.012361354107929517,0.3,0.05,0.9,0.9897693255802863
12,hypersearch-10-16,0.2117619702818696,0.12609488250443146,0.2,0.0,0.6,0.17567997285353712
13,hypersearch-4-21,0.19394807406149447,0.03538296756925188,0.3,0.05,0.5,0.24015218587071643
14,hypersearch-4-7,0.341954826778494,0.1974848843922366,0.3,0.0,0.8,0.4380718226866165
15,hypersearch-11-24,0.17171107932954685,0.020502989240643837,0.1,0.15,0.7,0.11098162594829909
16,hypersearch-20-6,0.23562250460383338,0.18985897263975832,0.2,0.15,0.5,0.14544661257357114
17,hypersearch-11-14,0.3530045614468867,0.22089755634411237,0.1,0.2,0.1,0.6096823711391731
18,hypersearch-0-32,0.32991014392991136,0.1878106603762593,0.3,0.1,0.2,0.5447971097559356
19,hypersearch-3-19,0.1913417664852192,0.11304508079836603,0.1,0.0,0.7,0.10265409194722304
20,hypersearch-4-43,0.3126852913671366,0.15180177782915216,0.2,0.15,0.2,0.5851719959318672
21,hypersearch-3-43,0.3420104807879742,0.18586292700765106,0.2,0.15,0.6,0.5042932478808831
22,hypersearch-10-48,0.273963032957595,0.08294937642121283,0.2,0.0,0.3,0.716243368763209
23,hypersearch-11-37,0.41438368940083237,0.21510093599087182,0.0,0.15,0.6,0.9312748413400771
24,hypersearch-4-17,0.32399914547246517,0.13262714695018185,0.3,0.0,0.0,0.670877854032578
25,hypersearch-0-42,0.19405782175585803,0.03324105519066098,0.1,0.05,0.5,0.26974189443690866
26,hypersearch-4-38,0.2458490572081939,0.06706972046502607,0.0,0.2,0.4,0.5546904943776471
